"TimeStamp","NameFile","LengthTrack","Error %","Nquadrants","WindowsTime","SpeedLimit","Algorithm","Error Meter"
"2017-02-20 17:04:17","Sensor_record_20170125_151110_AndroSensor.csv",450,82.8852149696,8,1,90,"Backtrack",372.9834673632
"2017-02-20 17:04:18","Sensor_record_20170125_151110_AndroSensor.csv",450,62.6040334119,2,20,30,"BestDecision",281.7181503534
"2017-02-20 17:04:19","Sensor_record_20170125_151110_AndroSensor.csv",450,106.0814820972,2,20,50,"BestDecision",477.3666694372
"2017-02-20 17:04:19","Sensor_record_20170125_151110_AndroSensor.csv",450,124.6054186695,2,20,70,"BestDecision",560.7243840129
"2017-02-20 17:04:20","Sensor_record_20170125_151110_AndroSensor.csv",450,113.4352326766,2,20,90,"BestDecision",510.4585470447
"2017-02-20 17:04:21","Sensor_record_20170125_151110_AndroSensor.csv",450,60.1227146845,2,10,30,"BestDecision",270.5522160801
"2017-02-20 17:04:22","Sensor_record_20170125_151110_AndroSensor.csv",450,62.2743612789,2,10,50,"BestDecision",280.2346257549
"2017-02-20 17:04:23","Sensor_record_20170125_151110_AndroSensor.csv",450,66.6753673788,2,10,70,"BestDecision",300.0391532044
"2017-02-20 17:04:24","Sensor_record_20170125_151110_AndroSensor.csv",450,72.9195889197,2,10,90,"BestDecision",328.1381501385
"2017-02-20 17:04:26","Sensor_record_20170125_151110_AndroSensor.csv",450,60.1400447231,2,5,30,"BestDecision",270.6302012539
"2017-02-20 17:04:28","Sensor_record_20170125_151110_AndroSensor.csv",450,59.9702089357,2,5,50,"BestDecision",269.8659402105
"2017-02-20 17:04:33","Sensor_record_20170125_151110_AndroSensor.csv",450,60.4323196885,2,5,70,"BestDecision",271.9454385982
"2017-02-20 17:04:36","Sensor_record_20170125_151110_AndroSensor.csv",450,61.5121361097,2,5,90,"BestDecision",276.8046124935
"2017-02-20 17:04:42","Sensor_record_20170125_151110_AndroSensor.csv",450,59.6329437879,2,1,30,"BestDecision",268.3482470457
"2017-02-20 17:04:49","Sensor_record_20170125_151110_AndroSensor.csv",450,59.6921654174,2,1,50,"BestDecision",268.6147443781
"2017-02-20 17:04:56","Sensor_record_20170125_151110_AndroSensor.csv",450,59.7767745242,2,1,70,"BestDecision",268.9954853591
"2017-02-20 17:05:02","Sensor_record_20170125_151110_AndroSensor.csv",450,59.8866635048,2,1,90,"BestDecision",269.4899857714
"2017-02-20 17:05:03","Sensor_record_20170125_151110_AndroSensor.csv",450,101.7099869081,4,20,30,"BestDecision",457.6949410865
"2017-02-20 17:05:04","Sensor_record_20170125_151110_AndroSensor.csv",450,149.310822455,4,20,50,"BestDecision",671.8987010476
"2017-02-20 17:05:05","Sensor_record_20170125_151110_AndroSensor.csv",450,187.0759513454,4,20,70,"BestDecision",841.8417810541
"2017-02-20 17:05:06","Sensor_record_20170125_151110_AndroSensor.csv",450,211.4215201382,4,20,90,"BestDecision",951.3968406221
"2017-02-20 17:05:07","Sensor_record_20170125_151110_AndroSensor.csv",450,71.572167909,4,10,30,"BestDecision",322.0747555904
"2017-02-20 17:05:07","Sensor_record_20170125_151110_AndroSensor.csv",450,65.3326217228,4,10,50,"BestDecision",293.9967977527
"2017-02-20 17:05:07","Sensor_record_20170125_151110_AndroSensor.csv",450,60.5201341603,4,10,70,"BestDecision",272.3406037212
"2017-02-20 17:05:07","Sensor_record_20170125_151110_AndroSensor.csv",450,57.4941801581,4,10,90,"BestDecision",258.7238107115
"2017-02-20 17:05:07","Sensor_record_20170125_151110_AndroSensor.csv",450,77.5882055265,4,5,30,"BestDecision",349.1469248693
"2017-02-20 17:05:07","Sensor_record_20170125_151110_AndroSensor.csv",450,74.2650445503,4,5,50,"BestDecision",334.1927004764
"2017-02-20 17:05:08","Sensor_record_20170125_151110_AndroSensor.csv",450,71.1358329592,4,5,70,"BestDecision",320.1112483162
"2017-02-20 17:05:08","Sensor_record_20170125_151110_AndroSensor.csv",450,68.2272621689,4,5,90,"BestDecision",307.0226797601
"2017-02-20 17:05:08","Sensor_record_20170125_151110_AndroSensor.csv",450,82.8311249093,4,1,30,"BestDecision",372.7400620917
"2017-02-20 17:05:08","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7950819728,4,1,50,"BestDecision",372.5778688778
"2017-02-20 17:05:08","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7590527406,4,1,70,"BestDecision",372.4157373328
"2017-02-20 17:05:09","Sensor_record_20170125_151110_AndroSensor.csv",450,82.72303723,4,1,90,"BestDecision",372.253667535
"2017-02-20 17:05:09","Sensor_record_20170125_151110_AndroSensor.csv",450,49.2121387194,8,20,30,"BestDecision",221.4546242374
"2017-02-20 17:05:09","Sensor_record_20170125_151110_AndroSensor.csv",450,28.8910910597,8,20,50,"BestDecision",130.0099097685
"2017-02-20 17:05:09","Sensor_record_20170125_151110_AndroSensor.csv",450,18.7130185827,8,20,70,"BestDecision",84.2085836223
"2017-02-20 17:05:09","Sensor_record_20170125_151110_AndroSensor.csv",450,31.1172036488,8,20,90,"BestDecision",140.0274164195
"2017-02-20 17:05:09","Sensor_record_20170125_151110_AndroSensor.csv",450,71.572167909,8,10,30,"BestDecision",322.0747555904
"2017-02-20 17:05:10","Sensor_record_20170125_151110_AndroSensor.csv",450,65.3326217228,8,10,50,"BestDecision",293.9967977527
"2017-02-20 17:05:10","Sensor_record_20170125_151110_AndroSensor.csv",450,60.5201341603,8,10,70,"BestDecision",272.3406037212
"2017-02-20 17:05:10","Sensor_record_20170125_151110_AndroSensor.csv",450,57.4941801581,8,10,90,"BestDecision",258.7238107115
"2017-02-20 17:05:10","Sensor_record_20170125_151110_AndroSensor.csv",450,77.5882055265,8,5,30,"BestDecision",349.1469248693
"2017-02-20 17:05:10","Sensor_record_20170125_151110_AndroSensor.csv",450,74.2650445503,8,5,50,"BestDecision",334.1927004764
"2017-02-20 17:05:10","Sensor_record_20170125_151110_AndroSensor.csv",450,71.1358329592,8,5,70,"BestDecision",320.1112483162
"2017-02-20 17:05:11","Sensor_record_20170125_151110_AndroSensor.csv",450,68.2272621689,8,5,90,"BestDecision",307.0226797601
"2017-02-20 17:05:11","Sensor_record_20170125_151110_AndroSensor.csv",450,82.8311249093,8,1,30,"BestDecision",372.7400620917
"2017-02-20 17:05:11","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7950819728,8,1,50,"BestDecision",372.5778688778
"2017-02-20 17:05:11","Sensor_record_20170125_151110_AndroSensor.csv",450,82.7590527406,8,1,70,"BestDecision",372.4157373328
"2017-02-20 17:05:12","Sensor_record_20170125_151110_AndroSensor.csv",450,82.72303723,8,1,90,"BestDecision",372.253667535
"2017-02-20 17:05:23","Sensor_record_20170125_151110_AndroSensor.csv",450,99.8464689859,2,20,30,"RandomDecision",449.3091104366
"2017-02-20 17:05:35","Sensor_record_20170125_151110_AndroSensor.csv",450,86.8632297734,2,20,50,"RandomDecision",390.8845339803
"2017-02-20 17:05:46","Sensor_record_20170125_151110_AndroSensor.csv",450,64.9801324686,2,20,70,"RandomDecision",292.4105961086
"2017-02-20 17:05:55","Sensor_record_20170125_151110_AndroSensor.csv",450,87.9494877655,2,20,90,"RandomDecision",395.7726949445
"2017-02-20 17:06:09","Sensor_record_20170125_151110_AndroSensor.csv",450,119.2226013944,2,10,30,"RandomDecision",536.5017062747
"2017-02-20 17:06:20","Sensor_record_20170125_151110_AndroSensor.csv",450,107.7484226514,2,10,50,"RandomDecision",484.8679019314
"2017-02-20 17:06:31","Sensor_record_20170125_151110_AndroSensor.csv",450,99.4502665648,2,10,70,"RandomDecision",447.5261995414
"2017-02-20 17:06:43","Sensor_record_20170125_151110_AndroSensor.csv",450,116.7266727204,2,10,90,"RandomDecision",525.2700272418
"2017-02-20 17:07:00","Sensor_record_20170125_151110_AndroSensor.csv",450,98.1830946934,2,5,30,"RandomDecision",441.8239261203
"2017-02-20 17:07:17","Sensor_record_20170125_151110_AndroSensor.csv",450,128.2073738075,2,5,50,"RandomDecision",576.9331821337
"2017-02-20 17:07:40","Sensor_record_20170125_151110_AndroSensor.csv",450,100.856259801,2,5,70,"RandomDecision",453.8531691046
"2017-02-20 17:07:58","Sensor_record_20170125_151110_AndroSensor.csv",450,99.5988768615,2,5,90,"RandomDecision",448.1949458769
"2017-02-20 17:08:12","Sensor_record_20170125_151110_AndroSensor.csv",450,108.475444197,2,1,30,"RandomDecision",488.1394988864
"2017-02-20 17:08:27","Sensor_record_20170125_151110_AndroSensor.csv",450,108.8593437476,2,1,50,"RandomDecision",489.8670468641
"2017-02-20 17:08:44","Sensor_record_20170125_151110_AndroSensor.csv",450,115.2863670977,2,1,70,"RandomDecision",518.7886519396
