"ACCELEROMETER X (m/s²)","ACCELEROMETER Y (m/s²)","ACCELEROMETER Z (m/s²)","GRAVITY X (m/s²)","GRAVITY Y (m/s²)","GRAVITY Z (m/s²)","LINEAR ACCELERATION X (m/s²)","LINEAR ACCELERATION Y (m/s²)","LINEAR ACCELERATION Z (m/s²)","GYROSCOPE X (rad/s)","GYROSCOPE Y (rad/s)","GYROSCOPE Z (rad/s)","LIGHT (lux)","MAGNETIC FIELD X (μT)","MAGNETIC FIELD Y (μT)","MAGNETIC FIELD Z (μT)","azimuth","ORIENTATION X (pitch °)","ORIENTATION Y (roll °)","PROXIMITY (i)","ATMOSPHERIC PRESSURE (hPa)","SOUND LEVEL (dB)","LOCATION Latitude : ","LOCATION Longitude : ","LOCATION Altitude ( m)","LOCATION Altitude-google ( m)","LOCATION Altitude-atmospheric pressure ( m)","LOCATION Speed ( Kmh)","LOCATION Accuracy ( m)","LOCATION ORIENTATION (°)","Time since start in ms ","Time since start in ms ","YYYY-MO-DD HH-MI-SS_SSS"
"0.150835","2.120066","8.84059","0.69936","2.681954","9.406828","-0.548525","-0.561888","-0.566237","0.026632","-0.053263","-0.008522","926.0","-35.3","18.3","6.5","65.6194","-15.9747","-3.9258","3.15","1019.6068","68.46924","44.736584","10.768413","237.0679","124.44508680332977","94.5273","25.806452","39.1147","20 / 23",7543,"2017-01-29 09:39:50:990",
"-0.642843","1.922544","8.95671","0.707756","2.678967","9.40705","-1.350599","-0.756423","-0.450341","0.022371","-0.082025","-0.012783","911.0","-35.0","18.4","6.5","65.5326","-15.9769","-4.4079","3.15",1019596,"68.01901","44.736584","10.768413","237.0679","124.44508680332977","94.5273","25.806452","39.1147","20 / 23",8044,"2017-01-29 09:39:51:491",
"1.159991","2.70066","9.63786","0.748789","2.605853","9.424396","0.411202","0.094806","0.213465","-0.007457","0.071373","-0.005326","916.0","-34.8","18.4","6.6","65.3506","-15.3788","-4.7311","3.15","1019.5852","69.3342","44.73678","10.768642","234.8945","124.44508680332977","95.9554","25.806452","39.8138","20 / 23",8543,"2017-01-29 09:39:51:990",
"0.744597","2.419341","10.047268","0.583074","2.595101","9.43906","0.550581","-0.233221","0.663275","0.023436","-0.059655","-0.009587","924.0","-35.3","18.1","6.4","65.134",-15345,-3665,"3.15","1019.5818","69.37306","44.73678","10.768642","234.8945","124.44508680332977","95.9554","25.806452","39.8138","20 / 23",9043,"2017-01-29 09:39:52:490",
"-0.240617","2.202666","9.878476","0.755466","2.539561","9.441942","-0.027629","-1.262254","-0.268558","-0.021305","0.018109","-0.009587","911.0","-35.6","18.1","6.4","65.4886","-15.0085","-4.5746","3.15","1019.5934","70.0699","44.73697","10.768863","233.7235","124.44508680332977","97.3444","19.35484","39.8609","20 / 23",9543,"2017-01-29 09:39:52:990",
"0.909797","2.784457","10.418368","0.587847","2.440087","9.480022","-0.089853","0.77772","2.152208","0.027697","-0.08096","-0.003196","919.0","-34.9","17.8","3.8","64.2701","-14.3312","-3.2983","3.15","1019.5592","70.35802","44.73697","10.768863","233.7235","124.44508680332977","97.3444","19.35484","39.8609","20 / 23",10044,"2017-01-29 09:39:53:491",
"0.238223","2.212242","7.557298","0.499623","2.50986","9.466856","-0.239853","-0.045029","-0.804633","-0.014914","-0.002131","0.006392","908.0","-34.9","18.3","7.2","65.6047","-14.9168","-2.5904","3.15","1019.5444","70.15352","44.737156","10.769086","233.7502","124.44508680332977","97.4262","19.35484","40.1336","20 / 23",10544,"2017-01-29 09:39:53:991",
"0.409408","2.505532","9.43076","0.61725","2.482289","9.467188","0.40268","0.199217","0.817106","-0.009587","0.001065","-0.004261","881.0","-34.5","17.3","6.8","66.1208","-14.7137","-3.6567","3.15","1019.5438","68.34145","44.737156","10.769086","233.7502","124.44508680332977","97.4262","19.35484","40.1336","20 / 23",11044,"2017-01-29 09:39:54:491",
"0.493206","2.506729","9.016564","0.587922","2.447888","9.478004","-0.042044","-0.455912","-0.12745","-0.007457","-0.008522","-0.001065","902.0","-35.1","18.2","6.3","64.9359","-14.4631","-3.8386","3.15","1019.5388","68.21739","44.737343","10.769301","233.0757","124.44508680332977","99.1336","19.35484","39.8288","20 / 23",11544,"2017-01-29 09:39:54:991",
"0.12809","3.095703","8.738836","0.696445","2.484894","9.461006","-0.198451","0.105633","-0.45402","-0.005326","0.056459","-0.004261","901.0","-35.8","18.0","5.9","65.5223","-14.7189",-4099,"3.15","1019.5348","69.83693","44.737343","10.769301","233.0757","124.44508680332977","99.1336","19.35484","39.8288","20 / 23",12043,"2017-01-29 09:39:55:490",
"0.459687","2.461239","9.821016","0.683777","2.507534","9.455956","0.819782","-0.1265","0.390199","0.002131","-0.004261","-0.012783","918.0","-36.4","19.5","7.6","63.7741","-14.7334","-4.1277","3.15","1019.5348","69.11832","44.73753","10.769524","231.8959","124.44508680332977","98.1246","19.35484","40.0066","20 / 23",12543,"2017-01-29 09:39:55:990",
"0.650026","2.728193","10.348938","0.623998","2.470115","9.469928","0.576694","-0.256675","0.54023","0.030893","-0.050067","-0.004261","921.0","-35.3","18.8","8.0","64.4655","-14.5581","-3.5207","3.15","1019.5604","69.11173","44.73753","10.769524","231.8959","114.11734466164735","98.1246","19.35484","40.0066","20 / 23",13044,"2017-01-29 09:39:56:491",
"0.785298","2.290054","9.67856","0.593005","2.466452","9.472874","0.192294","-0.176398","0.205687","-0.001065","-0.051133","0.010653","914.0","-34.1","17.3","6.5","65.7649","-14.6095","-3.3186","3.15","1019.5858","68.10443","44.73772","10.7697525","232.6139","114.11734466164735","98.5731","19.35484","39.9973","20 / 23",13543,"2017-01-29 09:39:56:990",
"-0.264559","2.883816","9.132684","0.62762","2.443185","9.476672","-0.892179","0.440631","-0.343989","-0.015979","0.046872","-0.008522","908.0","-34.9","18.1","7.3","65.3638","-14.4888","-3.5258","3.15","1019.6236","68.59717","44.73772","10.7697525","232.6139","114.11734466164735","98.5731","19.35484","39.9973","20 / 23",14044,"2017-01-29 09:39:57:491",
"2.249353","1.892616","9.97664","0.588998","2.42619","9.483516","1.660354","-0.533573","0.493123","-0.031958","0.051133","0.009587","948.0","-36.4","17.8","6.3","65.5433","-14.3239","-3.5539","3.15","1019.6136","68.86833","44.737904","10.76998","232.7921","114.11734466164735","98.8642","19.35484","40.1153","20 / 23",14544,"2017-01-29 09:39:57:991",
"0.509965","2.190695","9.167398","0.676458","2.366259","9.49282","-0.676458","0.159624","-0.297887","-0.015979","-0.066046","-0.001065","943.0","-36.2","17.8","5.7","65.3924","-13.9628",-4076,"3.15","1019.6144","69.27019","44.737904","10.76998","232.7921","114.11734466164735","98.8642","19.35484","40.1153","20 / 23",15044,"2017-01-29 09:39:58:491",
"0.497994","2.217031","9.451112","0.539471","2.328805","9.510838","-0.041477","-0.111774","-0.059726","0.037284","-0.057524","-0.002131","943.0","-36.2","18.0","5.4","65.1547","-13.8639","-3.2878","3.15","1019.5884","68.8823","44.738094","10.770205","232.2517","114.11734466164735","99.1338","19.35484","40.0884","20 / 23",15543,"2017-01-29 09:39:58:990",
"0.372298","2.133234","8.632296","0.628522","2.26547","9.52066","0.129243","0.127535","-0.82492","-0.027697","0.041545","-0.007457","938.0","-36.4","18.0","5.8","65.3221",-13397,"-3.9","3.15","1019.6124","68.71771","44.738094","10.770205","232.2517","114.11734466164735","99.1338","19.35484","40.0884","20 / 23",16044,"2017-01-29 09:39:59:491",
"2.169147","2.061408","9.722854","0.677432","2.295033","9.510222","-1.01262","0.206908","0.352694","-0.012783","0.043676","0.011718","943.0","-36.3","17.9","5.5","65.2935","-13.5271","-4.2255","3.15",1019589,"68.86219","44.738285","10.770437","231.6821","114.11734466164735","99.4372","19.35484","39.8724","20 / 22",16544,"2017-01-29 09:39:59:991",
